level	exp
0	5
1	9
2	14
3	20
4	27
5	35
6	44
7	54
8	65
9	77
10	90
11	104
12	119
13	135
14	152
15	170
16	189
17	209
18	230
19	252
20	275
21	299
22	324
23	350
24	377
25	405
26	434
27	464
28	495
29	527
30	560
31	594
32	629
33	665
34	702
35	740
36	779
37	819
38	860
39	902
40	945
41	989
42	1034
43	1080
44	1127
45	1175
46	1224
47	1274
48	1325
49	1377
50	1430
51	1484
52	1539
53	1595
54	1652
55	1710
56	1769
57	1829
58	1890
59	1952
60	2015
61	2079
62	2144
63	2210
64	2277
65	2345
66	2414
67	2484
68	2555
69	2627
70	2700
71	2774
72	2849
73	2925
74	3002
75	3080
76	3159
77	3239
78	3320
79	3402
80	3485
81	3569
82	3654
83	3740
84	3827
85	3915
86	4004
87	4094
88	4185
89	4277
90	4370
91	4464
92	4559
93	4655
94	4752
95	4850
96	4949
97	5049
98	5150
99	5251
100	5252
101	5253
102	5254
103	5255
104	5256
105	5257
106	5258
107	5259
108	5260
109	5261
110	5262
111	5263
112	5264
113	5300
114	5400
115	5500
116	5600
117	5700
118	5800
119	5900
120	6000
